holo_food_id	ena_sample	ena_run	ena_experiment	project	omics
CC11.07F1a	ERS10992181	ERR9286197	ERX8828302	Chicken HostG	HostGenomics
CC11.11F1a	ERS10992184	ERR9353186	ERX8895119	Chicken HostG	HostGenomics
CC11.15F1a	ERS10992187	ERR9285441	ERX8827618	Chicken HostG	HostGenomics
CC11.18F1a	ERS10992189	ERR9288580	ERX8830230	Chicken HostG	HostGenomics
CC12.01F1a	ERS10992191	ERR9286949	ERX8829054	Chicken HostG	HostGenomics
CC12.04F1a	ERS10992194	ERR9288277	ERX8829927	Chicken HostG	HostGenomics
CC12.06F1a	ERS10992195	ERR9286164	ERX8828277	Chicken HostG	HostGenomics
CC12.09F1a	ERS10992198	ERR9352852	ERX8894785	Chicken HostG	HostGenomics
CC12.10F1a	ERS10992200	ERR9352817	ERX8894736	Chicken HostG	HostGenomics
CC12.14F1a	ERS10992204	ERR9288327	ERX8829977	Chicken HostG	HostGenomics
CC12.16F1a	ERS10992206	ERR9288283	ERX8829933	Chicken HostG	HostGenomics
CC13.04F1a	ERS10992210	ERR9288689	ERX8830339	Chicken HostG	HostGenomics
CC13.10F1a	ERS10992215	ERR9287886	ERX8829536	Chicken HostG	HostGenomics
CC13.11F1a	ERS10992217	ERR9288339	ERX8829989	Chicken HostG	HostGenomics
CC13.14F1a	ERS10992220	ERR9288360	ERX8830010	Chicken HostG	HostGenomics
CC14.01F1a	ERS10992222	ERR9285603	ERX8827780	Chicken HostG	HostGenomics
CC14.03F1a	ERS10992225	ERR9353224	ERX8895157	Chicken HostG	HostGenomics
CC14.05F1a	ERS10992227	ERR9289807	ERX8831449	Chicken HostG	HostGenomics
CC14.08F1a	ERS10992228	ERR9286193	ERX8828298	Chicken HostG	HostGenomics
CC14.10F1a	ERS10992231	ERR9353184	ERX8895117	Chicken HostG	HostGenomics
CC14.15F1a	ERS10992235	ERR9287911	ERX8829561	Chicken HostG	HostGenomics
CC14.17F1a	ERS10992237	ERR9285403	ERX8827580	Chicken HostG	HostGenomics
CC15.08F1a	ERS10992242	ERR9352810	ERX8894729	Chicken HostG	HostGenomics
CC15.16F1a	ERS10992245	ERR9288337	ERX8829987	Chicken HostG	HostGenomics
CC16.01F1a	ERS10992247	ERR9353233	ERX8895166	Chicken HostG	HostGenomics
CC16.05F1a	ERS10992250	ERR9352861	ERX8894794	Chicken HostG	HostGenomics
CC16.07F1a	ERS10992253	ERR9288678	ERX8830328	Chicken HostG	HostGenomics
CC16.10F1a	ERS10992256	ERR9353287	ERX8895220	Chicken HostG	HostGenomics
CC16.14F1a	ERS10992260	ERR9353182	ERX8895115	Chicken HostG	HostGenomics
CC17.03F1a	ERS10992264	ERR9353181	ERX8895114	Chicken HostG	HostGenomics
CC17.05F1a	ERS10992266	ERR9356874	ERX8898776	Chicken HostG	HostGenomics
CC17.07F1a	ERS10992269	ERR9288682	ERX8830332	Chicken HostG	HostGenomics
CC17.12F1a	ERS10992274	ERR9285417	ERX8827594	Chicken HostG	HostGenomics
CC17.13F1a	ERS10992276	ERR9353313	ERX8895246	Chicken HostG	HostGenomics
CC18.06F1a	ERS10992283	ERR9353219	ERX8895152	Chicken HostG	HostGenomics
CC18.07F1a	ERS10992285	ERR9352812	ERX8894731	Chicken HostG	HostGenomics
CC18.12F1a	ERS10992289	ERR9353260	ERX8895193	Chicken HostG	HostGenomics
CC18.17F1a	ERS10992291	ERR9288280	ERX8829930	Chicken HostG	HostGenomics
CC19.05F1a	ERS10992295	ERR9286942	ERX8829047	Chicken HostG	HostGenomics
CC19.17F1a	ERS10992304	ERR9356864	ERX8898766	Chicken HostG	HostGenomics
CC19.18F1a	ERS10992305	ERR9285735	ERX8827848	Chicken HostG	HostGenomics
CC20.06F1a	ERS10992308	ERR9285439	ERX8827616	Chicken HostG	HostGenomics
CC20.12F1a	ERS10992312	ERR9286978	ERX8829083	Chicken HostG	HostGenomics
CC20.13F1a	ERS10992314	ERR9286934	ERX8829039	Chicken HostG	HostGenomics
CC20.14F1a	ERS10992315	ERR9285424	ERX8827601	Chicken HostG	HostGenomics
CC21.05F1a	ERS10992319	ERR9288676	ERX8830326	Chicken HostG	HostGenomics
CC21.07F1a	ERS10992322	ERR9288501	ERX8830151	Chicken HostG	HostGenomics
CC21.08F1a	ERS10992324	ERR9286245	ERX8828350	Chicken HostG	HostGenomics
CC21.10F1a	ERS10992326	ERR9288332	ERX8829982	Chicken HostG	HostGenomics
CC21.15F1a	ERS10992327	ERR9285749	ERX8827862	Chicken HostG	HostGenomics
CC21.16F1a	ERS10992329	ERR9353869	ERX8895802	Chicken HostG	HostGenomics
CC22.06F1a	ERS10992334	ERR9353199	ERX8895132	Chicken HostG	HostGenomics
CC22.10F1a	ERS10992336	ERR9286160	ERX8828273	Chicken HostG	HostGenomics
CC22.15F1a	ERS10992338	ERR9286196	ERX8828301	Chicken HostG	HostGenomics
CC22.17F1a	ERS10992340	ERR9286280	ERX8828385	Chicken HostG	HostGenomics
CC23.02F1a	ERS10992344	ERR9286986	ERX8829091	Chicken HostG	HostGenomics
CC23.07F1a	ERS10992347	ERR9354024	ERX8895957	Chicken HostG	HostGenomics
CC23.13F1a	ERS10992351	ERR9289738	ERX8831388	Chicken HostG	HostGenomics
CC23.17F1a	ERS10992355	ERR9286994	ERX8829099	Chicken HostG	HostGenomics
CC24.03F1a	ERS10992358	ERR9353284	ERX8895217	Chicken HostG	HostGenomics
CC24.07F1a	ERS10992361	ERR9288297	ERX8829947	Chicken HostG	HostGenomics
CC24.14F1a	ERS10992365	ERR9353210	ERX8895143	Chicken HostG	HostGenomics
